Node:627.63,1308.92 | Pred:563.931,1287.93 | Edge:pr33 | Cost:648
Node:1473.02,833.42 | Pred:1455.96,887.463 | Edge:ao6 | Cost:693
Node:1029.17,962.966 | Pred:1002.92,949.011 | Edge:cb6 | Cost:540
Node:400.011,332.057 | Pred:415.26,353.14 | Edge:nv12 | Cost:191
Node:590.943,938.701 | Pred:553.571,908.41 | Edge:sq4 | Cost:447
Node:271.574,518.452 | Pred:321,460 | Edge:sv32 | Cost:312
Node:244.295,1218.58 | Pred:244.57,987.06 | Edge:pr24 | Cost:563
Node:577.02,1332.86 | Pred:563.931,1287.93 | Edge:pr40 | Cost:633
Node:951.046,618.069 | Pred:810.046,613.069 | Edge:ab19 | Cost:374
Node:503.99,361.175 | Pred:545.162,343.624 | Edge:nv8 | Cost:136
Node:1051.84,975.729 | Pred:1029.17,962.966 | Edge:cb14 | Cost:552
Node:899.709,1031.22 | Pred:914.057,996.148 | Edge:cb28 | Cost:543
Node:256.291,565.652 | Pred:276.068,540.949 | Edge:sv26 | Cost:318
Node:355.195,510.023 | Pred:380.934,470.425 | Edge:sv41 | Cost:264
Node:963.5,347.156 | Pred:841.5,169.156 | Edge:nw3 | Cost:310
Node:810.583,1251.56 | Pred:799.931,1079.43 | Edge:sq18 | Cost:634
Node:961.31,685.98 | Pred:939.92,679.25 | Edge:ab27 | Cost:397
Node:260.321,821.275 | Pred:323.303,739.101 | Edge:pr27 | Cost:385
Node:244.713,536.103 | Pred:223.802,474.407 | Edge:sv30 | Cost:325
Node:1020.19,896.255 | Pred:1013.65,823.584 | Edge:cb1 | Cost:515
Node:889.692,758.827 | Pred:819.176,724.329 | Edge:abi11 | Cost:399
Node:1171.07,572.828 | Pred:1145.72,566.99 | Edge:pr8 | Cost:509
Node:951.056,1048.87 | Pred:899.709,1031.22 | Edge:cb29 | Cost:572
Node:1335.97,506.87 | Pred:1243.82,519.568 | Edge:ab2 | Cost:586
Node:416.934,200.745 | Pred:565.955,220.034 | Edge:nv25 | Cost:156
Node:707.953,850.767 | Pred:718.046,825.069 | Edge:cg36 | Cost:397
Node:385.494,356.271 | Pred:415.26,353.14 | Edge:nv10 | Cost:190
Node:219.565,797.941 | Pred:260.321,821.275 | Edge:sv12 | Cost:413
Node:915,862.14 | Pred:878.952,806.75 | Edge:ab47 | Cost:459
Node:1071.95,658.138 | Pred:1039.55,610.976 | Edge:ab11 | Cost:450
Node:230.676,326.981 | Pred:239.014,279.685 | Edge:nv16 | Cost:270
Node:862.566,779.806 | Pred:763.97,742.909 | Edge:abi10 | Cost:405
Node:619.727,947.5 | Pred:620.218,921 | Edge:sq1 | Cost:469
